AY186568	CladeC;C1061
AY186569	CladeC;C1053
AY186570	CladeC;C1052
AY237300	CladeC;C1083
AY239360	CladeA;A7
AY239361	CladeB;B11
AY239362	CladeB;B14
AY239363	CladeC;C1bandC1e
AY239364	CladeC;Cstar
AY239365	CladeC;C3h
AY239366	CladeC;C3j
AY239367	CladeC;C8
AY239368	CladeC;C8a
AY239369	CladeC;C15
AY239370	CladeC;C17
AY239371	CladeC;C20
AY239372	CladeC;C21and3d3k
AY239373	CladeC;C22
AY239374	CladeC;C22a
AY239375	CladeC;C23
AY239376	CladeC;C24
AY239377	CladeC;C25
AY239378	CladeC;C26and35a
AY239379	CladeC;C27and30
AY239380	CladeC;C28
AY258468	CladeA;A8
AY258469	CladeB;B16
AY258470	CladeB;B17
AY258471	CladeB;B18
AY258472	CladeB;B18a
AY258473	CladeC;C1h
AY258475	CladeC;C8b
AY258476	CladeC;C15a
AY258477	CladeC;C16
AY258478	CladeC;C18
AY258479	CladeC;C19
AY258480	CladeC;C36
AY258481	CladeC;C37
AY258482	CladeC;C38
AY258483	CladeC;C38a
AY258484	CladeC;C39
AY258485	CladeC;C40
AY258486	CladeC;C41
AY258487	CladeC;C42
AY258488	CladeC;C1d
AY258490	CladeC;C1f
AY258491	CladeC;C15b
AY258492	CladeC;C15c
AY258493	CladeC;C15d
AY258494	CladeC;C29
AY258496	CladeC;C31
AY258497	CladeC;C32
AY258498	CladeC;C33.1
AY258499	CladeC;C34
AY258500	CladeC;C35.2
AY258501	CladeC;C35a
AY589730	CladeC;C1g
AY589731	CladeC;C1i
AY589732	CladeC;C1j
AY589733	CladeC;C1k
AY589734	CladeC;C3f
AY589735	CladeC;C3g
AY589736	CladeC;C3ha
AY589737	CladeC;C3k
AY589738	CladeC;C3l
AY589739	CladeC;C10a
AY589740	CladeC;C13
AY589741	CladeC;C14
AY589742	CladeC;C15e
AY589743	CladeC;C15f
AY589744	CladeC;C21a
AY589745	CladeC;C30
AY589746	CladeC;C31a
AY589747	CladeC;C40a
AY589748	CladeC;C40b
AY589749	CladeC;C43
AY589750	CladeC;C44
AY589751	CladeC;C44a
AY589752	CladeC;C47
AY589753	CladeC;C48
AY589754	CladeC;C49
AY589755	CladeC;C50
AY589756	CladeC;C51
AY589757	CladeC;C52
AY589758	CladeC;C53
AY589759	CladeC;C55
AY589760	CladeC;C56
AY589761	CladeC;C57
AY589762	CladeC;C58
AY589763	CladeC;C59
AY589764	CladeC;C60
AY589765	CladeC;C61
AY589766	CladeC;C62
AY589767	CladeC;C63
AY589768	CladeC;C64
AY589769	CladeC;C65
AY589770	CladeC;C66
AY589771	CladeC;C67
AY589772	CladeC;C68
AY589773	CladeC;C69
AY589774	CladeC;C70
AY589775	CladeC;C71
AY589776	CladeC;C71a
AY624605	CladeC;C1085
AY686647	CladeC;C68
AY686648	CladeC;C69a
AY686649	CladeD;D2
AY686650	CladeD;D3
AY765398	CladeC;C1m
AY765399	CladeC;C16a
AY765400	CladeC;C33.2
AY765401	CladeC;C35.1
AY765402	CladeC;C42
AY765403	CladeC;C42b
AY765404	CladeC;C45a
AY765405	CladeC;C46a
AY765406	CladeC;C54a
AY765407	CladeC;C72
AY765408	CladeC;C73
AY765409	CladeC;C74
AY765410	CladeC;C75
AY765411	CladeC;C76
AY765412	CladeC;C77
AY765413	CladeC;C78
AY765414	CladeC;C79
DQ011618	CladeE;E100
DQ068023	CladeC;C1096
DQ068026	CladeC;C1048
DQ068036	CladeC;C1045
DQ068038	CladeC;C1044
DQ072721	CladeC;C1043
DQ174722	CladeA;A121
DQ174723	CladeA;A134
DQ174725	CladeA;A133
DQ174727	CladeA;A135
DQ174729	CladeC;C1017
DQ182634	CladeC;C1143
DQ182635	CladeC;C1142
DQ182636	CladeC;C1141
DQ182637	CladeC;C1144
DQ182638	CladeC;C1140
DQ182639	CladeC;C1139
DQ182640	CladeC;C1088
DQ182641	CladeC;C1098
DQ182642	CladeC;C1138
DQ182643	CladeC;C1137
DQ182644	CladeC;C1136
DQ182645	CladeC;C1111
DQ182646	CladeC;C1135
DQ182647	CladeC;C1134
DQ182648	CladeC;C1133
DQ182649	CladeC;C1132
DQ182650	CladeC;C1131
DQ182651	CladeC;C1129
DQ182652	CladeC;C1127
DQ182653	CladeC;C1126
DQ182654	CladeC;C1122
DQ182655	CladeC;C1087
DQ182656	CladeC;C1086
DQ335300	CladeC;C1034
DQ335302	CladeC;C1071
DQ335308	CladeC;C1076
DQ335316	CladeC;C1077
DQ335319	CladeC;C1112
DQ335323	CladeC;C1124
DQ335328	CladeC;C1075
DQ335329	CladeC;C1074
DQ335330	CladeC;C1023
DQ335331	CladeC;C1022
DQ335332	CladeC;C1073
DQ335338	CladeC;C1109
DQ335339	CladeC;C1106
DQ335340	CladeC;C1110
DQ335344	CladeC;C1072
DQ335349	CladeC;C1070
DQ335350	CladeC;C1033
DQ335351	CladeC;C1108
DQ335352	CladeC;C1030
DQ335353	CladeC;C1029
DQ335357	CladeC;C1028
DQ335359	CladeC;C1107
DQ335360	CladeC;C1027
DQ335363	CladeC;C1123
DQ335366	CladeC;C1026
DQ335375	CladeC;C1069
DQ335378	CladeC;C1121
DQ335379	CladeC;C1068
DQ335381	CladeC;C1067
DQ335382	CladeC;C1066
DQ335388	CladeC;C1065
